Section,Description,Dependencies,Assignee,Patch,Status,First released version
[charconv.to.chars],"Fix integral conformance",,Mark de Wever,`D100722 <https://llvm.org/D100722>`__,|Complete|,Clang 13
[charconv.to.chars],"Add floating-point conversion",`D100722 <https://llvm.org/D100722>`__,"Mark de Wever (Code provided by Stephan T. Lavavej of Microsoft)",`D70631 <https://llvm.org/D70631>`__,In progress,
[format.error],"Class format_error",,Mark de Wever,`D92214 <https://llvm.org/D92214>`__,|Complete|,Clang 13
[format.parse.ctx],"Class template basic_format_parse_context",,Mark de Wever,`D93166 <https://llvm.org/D93166>`__,|Complete|,Clang 13
[format.context],"Class template basic_format_context",,Mark de Wever,`D93593 <https://llvm.org/D93593>`__,Review,
[format.args],"Class template basic_format_args",,Mark de Wever,`D93593 <https://llvm.org/D93593>`__,Review,
[format.arg],"Class template basic_format_arg",,Mark de Wever,`D93593 <https://llvm.org/D93593>`__,Review,
[format.arg],"Class template basic_format_arg - handle",,,,,,
[format.arg],"Class template basic_format_arg - pointers",,,,,,
[format.arg.store],"Class template format-arg-store",,Mark de Wever,`D93593 <https://llvm.org/D93593>`__,Review,
[format.formatter.spec],"Formatter specializations - character types",,Mark de Wever,`D96664 <https://llvm.org/D96664>`__,Review,
[format.formatter.spec],"Formatter specializations - string types",,Mark de Wever,`D96664 <https://llvm.org/D96664>`__,Review,
[format.formatter.spec],"Formatter specializations - boolean type",,Mark de Wever,`D96664 <https://llvm.org/D96664>`__,Review,
[format.formatter.spec],"Formatter specializations - integral types",,Mark de Wever,`D96664 <https://llvm.org/D96664>`__,Review,
[format.formatter.spec],"Formatter specializations - floating-point types",`D70631 <https://llvm.org/D70631>`__,Mark de Wever,`D96664 <https://llvm.org/D96664>`__,Review,
[format.formatter.spec],"Formatter specializations - pointer types",,,,,,
[format.string.std],"Standard format specifiers - character types",,Mark de Wever,,In progress,,
[format.string.std],"Standard format specifiers - string types",,Mark de Wever,,In progress,,
[format.string.std],"Standard format specifiers - boolean type",,Mark de Wever,,In progress,,
[format.string.std],"Standard format specifiers - integral types",,Mark de Wever,,In progress,,
[format.string.std],"Standard format specifiers - floating-point types",,Mark de Wever,,,,
[format.string.std],"Standard format specifiers - pointer types",,Mark de Wever,,,,
[format.functions],"Format functions - format(string_view fmt, const Args&... args);",,Mark de Wever,`D96664 <https://llvm.org/D96664>`__,Review,
[format.functions],"Format functions - format(wstring_view fmt, const Args&... args);",,Mark de Wever,`D96664 <https://llvm.org/D96664>`__,Review,
[format.functions],"Format functions - format(const locale& loc, string_view fmt, const Args&... args);",,Mark de Wever,`D96664 <https://llvm.org/D96664>`__,Review,
[format.functions],"Format functions - format(const locale& loc, wstring_view fmt, const Args&... args);",,Mark de Wever,`D96664 <https://llvm.org/D96664>`__,Review,
[format.functions],"Format functions - vformat(string_view fmt, format_args args);",,Mark de Wever,`D96664 <https://llvm.org/D96664>`__,Review,
[format.functions],"Format functions - vformat(wstring_view fmt, wformat_args args);",,Mark de Wever,`D96664 <https://llvm.org/D96664>`__,Review,
[format.functions],"Format functions - vformat(const locale& loc, string_view fmt, format_args args);",,Mark de Wever,`D96664 <https://llvm.org/D96664>`__,Review,
[format.functions],"Format functions - vformat(const locale& loc, wstring_view fmt, wformat_args args);",,Mark de Wever,`D96664 <https://llvm.org/D96664>`__,Review,
[format.functions],"Format functions - format_to(Out out, wstring_view fmt, const Args&... args);",,Mark de Wever,`D96664 <https://llvm.org/D96664>`__,Review,
